Name Team G PA HR R RBI SB BB_Pct K_Pct ISO BABIP AVG OBP SLG wOBA wRC EV BsR Off Def WAR playerid
"Asdrubal Cabrera" Nationals 52 213 8 23 31 0 8.9 18.8 0.205 0.26 0.242 0.305 0.447 0.319 96 89.4 -2.6 -3.8 -2.2 0 4962
"Yuli Gurriel" Astros 57 230 6 27 22 0 5.2 11.7 0.152 0.235 0.232 0.274 0.384 0.281 79 89.3 0.3 -5.5 -3.4 -0.1 19198
"Austin Riley" Braves 51 206 8 24 27 0 7.8 23.8 0.176 0.28 0.239 0.301 0.415 0.307 88 91 -0.4 -3.6 -3.4 -0.1 18360
"Nick Solak" Rangers 58 233 2 27 23 7 7.7 18 0.077 0.32 0.268 0.326 0.344 0.297 86 89.9 2.4 -1.6 -8.4 -0.2 19294
"Andrew McCutchen" Phillies 57 241 10 32 34 4 9.1 19.9 0.18 0.281 0.253 0.324 0.433 0.327 103 89.6 -1.6 -0.6 -7.6 -0.2 9847
"Evan White" Mariners 54 202 8 19 26 1 8.9 41.6 0.17 0.264 0.176 0.252 0.346 0.261 66 91.7 1 -7.5 -1.6 -0.2 20078
"Nicky Lopez" Royals 56 192 1 15 13 0 9.4 21.4 0.065 0.26 0.201 0.286 0.266 0.254 55 84.9 -2 -12.8 2 -0.2 19339
"Jonathan Villar" "- - -" 52 207 2 13 15 16 9.2 26.1 0.059 0.313 0.232 0.301 0.292 0.266 66 86.9 0.7 -8.2 -0.5 -0.3 10071
"Josh Bell" Pirates 57 223 8 22 22 0 9.9 26.5 0.138 0.273 0.226 0.305 0.364 0.286 77 91.7 0.2 -6.2 -7.6 -0.4 13145
"Victor Robles" Nationals 52 189 3 20 15 4 4.8 28 0.095 0.298 0.22 0.293 0.315 0.273 65 82.6 1.3 -7 -2.9 -0.5 18363
"Eduardo Escobar" Diamondbacks 54 222 4 22 20 1 6.8 18.5 0.123 0.244 0.212 0.27 0.335 0.257 56 88.6 -0.9 -13.5 0.3 -0.5 6153
"Josh Reddick" Astros 56 210 4 22 23 1 9.5 20 0.133 0.294 0.245 0.316 0.378 0.304 95 85.9 -2 -3.2 -10.5 -0.6 3892
"J.D. Martinez" "Red Sox" 54 237 7 22 27 1 9.3 24.9 0.175 0.259 0.213 0.291 0.389 0.29 77 89.5 -1 -7.8 -8.6 -1 6184
