"Season"	"STATE"	"O_RUNS.ROI"	"N"
"572"	2005	"110 0"	"1"	632
"573"	2005	"110 0"	"2"	396
"574"	2005	"110 0"	"3"	337
"575"	2005	"110 0"	"4+"	340
"576"	2005	"110 1"	"0"	2907
"577"	2005	"110 1"	"1"	836
"578"	2005	"110 1"	"2"	545
"579"	2005	"110 1"	"3"	433
"580"	2005	"110 1"	"4+"	301
"581"	2005	"110 2"	"0"	4731
"582"	2005	"110 2"	"1"	664
"583"	2005	"110 2"	"2"	335
"584"	2005	"110 2"	"3"	273
"585"	2005	"110 2"	"4+"	132
"586"	2005	"111 0"	"0"	98
"587"	2005	"111 0"	"1"	184
"588"	2005	"111 0"	"2"	132
"589"	2005	"111 0"	"3"	101
"590"	2005	"111 0"	"4+"	183
"591"	2005	"111 1"	"0"	611
"592"	2005	"111 1"	"1"	471
"593"	2005	"111 1"	"2"	271
"594"	2005	"111 1"	"3"	176
"595"	2005	"111 1"	"4+"	259
"596"	2005	"111 2"	"0"	1528
"597"	2005	"111 2"	"1"	194
"598"	2005	"111 2"	"2"	236
"599"	2005	"111 2"	"3"	129
"600"	2005	"111 2"	"4+"	145
"601"	2006	"000 0"	"0"	32060
"602"	2006	"000 0"	"1"	7112
"603"	2006	"000 0"	"2"	3314
"604"	2006	"000 0"	"3"	1630
"605"	2006	"000 0"	"4+"	1284
"606"	2006	"000 1"	"0"	26615
"607"	2006	"000 1"	"1"	3257
"608"	2006	"000 1"	"2"	1420
"609"	2006	"000 1"	"3"	583
"610"	2006	"000 1"	"4+"	388
"611"	2006	"000 2"	"0"	23664
"612"	2006	"000 2"	"1"	1299
"613"	2006	"000 2"	"2"	430
"614"	2006	"000 2"	"3"	135
"615"	2006	"000 2"	"4+"	52
"616"	2006	"001 0"	"0"	78
"617"	2006	"001 0"	"1"	274
"618"	2006	"001 0"	"2"	68
"619"	2006	"001 0"	"3"	44
"620"	2006	"001 0"	"4+"	39
"621"	2006	"001 1"	"0"	711
"622"	2006	"001 1"	"1"	948
"623"	2006	"001 1"	"2"	200
"624"	2006	"001 1"	"3"	101
"625"	2006	"001 1"	"4+"	64
"626"	2006	"001 2"	"0"	2280
"627"	2006	"001 2"	"1"	567
"628"	2006	"001 2"	"2"	164
"629"	2006	"001 2"	"3"	55
"630"	2006	"001 2"	"4+"	28
"631"	2006	"010 0"	"0"	1352
"632"	2006	"010 0"	"1"	1291
"633"	2006	"010 0"	"2"	499
"634"	2006	"010 0"	"3"	263
"635"	2006	"010 0"	"4+"	233
