"Season"	"Bases"	"Outs"	"Coef"	"Bases_Score"
"277"	2011	"“100”"	0	0.709403722164064	1
"278"	2011	"“100”"	1	0.0182453405310839	1
"279"	2011	"“100”"	2	-0.919259214351572	1
"280"	2011	"“101”"	0	2.05495607309043	5
"281"	2011	"“101”"	1	1.36331653959922	5
"282"	2011	"“101”"	2	0.0480729763454887	5
"283"	2011	"“110”"	0	1.55184125441886	3
"284"	2011	"“110”"	1	0.715243429850623	3
"285"	2011	"“110”"	2	-0.216507106749416	3
"286"	2011	"“111”"	0	2.48292329464544	7
"287"	2011	"“111”"	1	1.61532476957404	7
"288"	2011	"“111”"	2	0.397563635687899	7
"289"	2012	"“000”"	0	0	0
"290"	2012	"“000”"	1	-0.694289606904338	0
"291"	2012	"“000”"	2	-1.63890112026232	0
"292"	2012	"“001”"	0	1.64227300008218	4
"293"	2012	"“001”"	1	1.16120296083519	4
"294"	2012	"“001”"	2	-0.16482145158856	4
"295"	2012	"“010”"	0	1.26295318118315	2
"296"	2012	"“010”"	1	0.520570875042926	2
"297"	2012	"“010”"	2	-0.303481739619183	2
"298"	2012	"“011”"	0	2.27579775792031	6
"299"	2012	"“011”"	1	1.55456315010409	6
"300"	2012	"“011”"	2	0.0116965252797169	6
"301"	2012	"“100”"	0	0.710217846816781	1
"302"	2012	"“100”"	1	0.0378738845799247	1
"303"	2012	"“100”"	2	-0.887351478875964	1
"304"	2012	"“101”"	0	1.98844181840232	5
"305"	2012	"“101”"	1	1.2705199500165	5
"306"	2012	"“101”"	2	0.0505221833290151	5
"307"	2012	"“110”"	0	1.4984624068989	3
"308"	2012	"“110”"	1	0.720949700459485	3
"309"	2012	"“110”"	2	-0.242303317841538	3
"310"	2012	"“111”"	0	2.40174241817031	7
"311"	2012	"“111”"	1	1.67423413019968	7
"312"	2012	"“111”"	2	0.307062065423037	7
"313"	2013	"“000”"	0	0	0
"314"	2013	"“000”"	1	-0.692741900011585	0
"315"	2013	"“000”"	2	-1.66005235737458	0
"316"	2013	"“001”"	0	1.67928785482367	4
"317"	2013	"“001”"	1	1.20918493577166	4
"318"	2013	"“001”"	2	-0.110004114961594	4
"319"	2013	"“010”"	0	1.27863781855709	2
"320"	2013	"“010”"	1	0.501114509269055	2
"321"	2013	"“010”"	2	-0.327135600364474	2
"322"	2013	"“011”"	0	2.39305094873809	6
"323"	2013	"“011”"	1	1.65077803317623	6
"324"	2013	"“011”"	2	0.046948650189451	6
"325"	2013	"“100”"	0	0.697293128594006	1
"326"	2013	"“100”"	1	0.0441254609347946	1
"327"	2013	"“100”"	2	-0.908573715476416	1
